month,region,bu,product_line,segment,metric,actual,plan,prior,currency
2024-10,NA,Core,Alpha,SMB,revenue,1534364.84,1623779.88,1620370.62,USD
2024-10,NA,Core,Alpha,SMB,gross_margin,1038416.97,1136645.91,1126199.89,USD
2024-10,NA,Core,Alpha,MidMarket,revenue,1338559.44,1353149.9,1202706.51,USD
2024-10,NA,Core,Alpha,MidMarket,gross_margin,949082.99,947204.93,825755.54,USD
2024-10,NA,Core,Alpha,Enterprise,revenue,848546.99,807594.22,796615.32,USD
2024-10,NA,Core,Alpha,Enterprise,gross_margin,561846.87,565315.96,551902.72,USD
2024-10,NA,Core,Beta,SMB,revenue,2197416.26,2487233.98,2230355.61,USD
2024-10,NA,Core,Beta,SMB,gross_margin,1448280.13,1666446.77,1468424.99,USD
2024-10,NA,Core,Beta,MidMarket,revenue,2052642.19,2072694.98,2066341.06,USD
2024-10,NA,Core,Beta,MidMarket,gross_margin,1437963.15,1388705.64,1362215.89,USD
2024-10,NA,Core,Beta,Enterprise,revenue,1116725.57,1237037.01,1319613.14,USD
2024-10,NA,Core,Beta,Enterprise,gross_margin,775213.87,828814.79,899694.15,USD
2024-10,NA,Core,Gamma,SMB,revenue,1353790.59,1328672.13,1388342.1,USD
2024-10,NA,Core,Gamma,SMB,gross_margin,828726.03,837063.44,880653.33,USD
2024-10,NA,Core,Gamma,MidMarket,revenue,1128947.48,1107226.77,1008181.72,USD
2024-10,NA,Core,Gamma,MidMarket,gross_margin,704846.09,697552.87,622547.01,USD
2024-10,NA,Core,Gamma,Enterprise,revenue,644948.19,660821.06,554044.53,USD
2024-10,NA,Core,Gamma,Enterprise,gross_margin,403609.91,416317.27,351932.47,USD
2024-10,NA,Core,ServicesPlus,SMB,revenue,1142168.91,1128246.16,1038025.98,USD
2024-10,NA,Core,ServicesPlus,SMB,gross_margin,720588.05,688230.16,608782.25,USD
2024-10,NA,Core,ServicesPlus,MidMarket,revenue,977519.88,940205.13,846351.14,USD
2024-10,NA,Core,ServicesPlus,MidMarket,gross_margin,596708.08,573525.13,530896.69,USD
2024-10,NA,Core,ServicesPlus,Enterprise,revenue,412301.69,561138.3,554622.22,USD
2024-10,NA,Core,ServicesPlus,Enterprise,gross_margin,246971.68,342294.36,335055.63,USD
2024-10,NA,Growth,Alpha,SMB,revenue,1651811.52,1601641.75,1403652.18,USD
2024-10,NA,Growth,Alpha,SMB,gross_margin,938576.76,912935.8,805746.18,USD
2024-10,NA,Growth,Alpha,MidMarket,revenue,1379614.89,1339150.46,1411728.16,USD
2024-10,NA,Growth,Alpha,MidMarket,gross_margin,791960.45,763315.76,808723.67,USD
2024-10,NA,Growth,Alpha,Enterprise,revenue,835112.84,800820.88,756046.89,USD
2024-10,NA,Growth,Alpha,Enterprise,gross_margin,469605.57,456467.9,436858.29,USD
2024-10,NA,Growth,Beta,SMB,revenue,4055440.94,3826872.79,3230029.08,USD
2024-10,NA,Growth,Beta,SMB,gross_margin,2147011.67,2066511.31,1692800.25,USD
2024-10,NA,Growth,Beta,MidMarket,revenue,3186783.98,3199690.86,2903541.53,USD
2024-10,NA,Growth,Beta,MidMarket,gross_margin,1757448.43,1727833.06,1561299.06,USD
2024-10,NA,Growth,Beta,Enterprise,revenue,1967793.04,1913436.39,1826570.15,USD
2024-10,NA,Growth,Beta,Enterprise,gross_margin,1063873.98,1033255.65,983794.15,USD
2024-10,NA,Growth,Gamma,SMB,revenue,3674991.39,3507378.66,3679201.91,USD
2024-10,NA,Growth,Gamma,SMB,gross_margin,1763142.09,1753689.33,1882915.7,USD
2024-10,NA,Growth,Gamma,MidMarket,revenue,2770182.78,2932558.27,3033933.0,USD
2024-10,NA,Growth,Gamma,MidMarket,gross_margin,1393937.67,1466279.13,1490112.38,USD
2024-10,NA,Growth,Gamma,Enterprise,revenue,1800081.08,1753689.33,1790934.25,USD
2024-10,NA,Growth,Gamma,Enterprise,gross_margin,865917.1,876844.67,865367.03,USD
2024-10,NA,Growth,ServicesPlus,SMB,revenue,1055023.93,1113321.44,1036497.95,USD
2024-10,NA,Growth,ServicesPlus,SMB,gross_margin,525485.08,534394.29,496036.96,USD
2024-10,NA,Growth,ServicesPlus,MidMarket,revenue,923554.91,930860.43,902031.45,USD
2024-10,NA,Growth,ServicesPlus,MidMarket,gross_margin,426195.61,446813.0,402193.28,USD
2024-10,NA,Growth,ServicesPlus,Enterprise,revenue,582431.32,556660.72,517149.57,USD
2024-10,NA,Growth,ServicesPlus,Enterprise,gross_margin,290812.19,267197.15,248667.43,USD
2024-10,NA,Services,Alpha,SMB,revenue,1073422.44,1107228.4,1121398.17,USD
2024-10,NA,Services,Alpha,SMB,gross_margin,470237.73,509325.07,519224.53,USD
2024-10,NA,Services,Alpha,MidMarket,revenue,1046276.85,923431.45,897072.11,USD
2024-10,NA,Services,Alpha,MidMarket,gross_margin,494349.07,424778.47,405867.57,USD
2024-10,NA,Services,Alpha,Enterprise,revenue,485780.93,551390.85,512650.27,USD
2024-10,NA,Services,Alpha,Enterprise,gross_margin,216350.08,253639.79,235898.45,USD
2024-10,NA,Services,Beta,SMB,revenue,2433448.58,2389209.62,2593741.59,USD
2024-10,NA,Services,Beta,SMB,gross_margin,1060495.22,1027360.14,1117377.93,USD
2024-10,NA,Services,Beta,MidMarket,revenue,2028906.99,1992607.22,2217701.39,USD
2024-10,NA,Services,Beta,MidMarket,gross_margin,864828.02,856821.1,891703.93,USD
2024-10,NA,Services,Beta,Enterprise,revenue,1162144.43,1189807.2,1219137.4,USD
2024-10,NA,Services,Beta,Enterprise,gross_margin,481591.94,511617.1,523149.74,USD
2024-10,NA,Services,Gamma,SMB,revenue,1964509.63,2038875.99,2037317.85,USD
2024-10,NA,Services,Gamma,SMB,gross_margin,814714.45,795161.64,768186.49,USD
2024-10,NA,Services,Gamma,MidMarket,revenue,1577733.61,1700428.04,1748656.69,USD
2024-10,NA,Services,Gamma,MidMarket,gross_margin,622359.67,663166.93,665909.8,USD
2024-10,NA,Services,Gamma,Enterprise,revenue,825614.19,1015343.87,1051430.4,USD
2024-10,NA,Services,Gamma,Enterprise,gross_margin,312787.72,395984.11,416680.37,USD
