month,region,bu,product_line,otif,lead_time_days,stockouts,backorders,supplier_delay_days
2024-10,NA,Core,Alpha,0.911,17,0,4,2.0
2024-10,NA,Core,Beta,0.93,19,2,1,3.3
2024-10,NA,Core,Gamma,0.946,21,3,4,3.5
2024-10,NA,Core,ServicesPlus,0.965,17,2,3,2.1
2024-10,NA,Growth,Alpha,0.933,24,1,6,1.4
2024-10,NA,Growth,Beta,0.93,27,1,2,1.4
2024-10,NA,Growth,Gamma,0.934,16,3,3,0.7
2024-10,NA,Growth,ServicesPlus,0.929,23,3,3,0.0
2024-10,NA,Services,Alpha,0.986,9,0,5,4.0
2024-10,NA,Services,Beta,0.984,10,0,2,2.2
2024-10,NA,Services,Gamma,0.952,15,2,2,0.0
2024-10,NA,Services,ServicesPlus,0.952,10,3,2,0.7
2024-10,EMEA,Core,Alpha,0.973,19,0,4,1.2
2024-10,EMEA,Core,Beta,0.927,16,2,3,3.4
2024-10,EMEA,Core,Gamma,0.931,12,3,2,3.5
2024-10,EMEA,Core,ServicesPlus,0.94,20,2,4,2.2
2024-10,EMEA,Growth,Alpha,0.92,24,0,2,0.0
2024-10,EMEA,Growth,Beta,0.919,24,2,3,1.6
2024-10,EMEA,Growth,Gamma,0.916,18,4,2,0.4
2024-10,EMEA,Growth,ServicesPlus,0.936,19,3,3,1.2
2024-10,EMEA,Services,Alpha,0.936,14,1,3,3.4
2024-10,EMEA,Services,Beta,0.955,7,2,4,2.6
2024-10,EMEA,Services,Gamma,0.939,15,5,5,1.9
2024-10,EMEA,Services,ServicesPlus,0.97,9,1,0,2.8
2024-10,APAC,Core,Alpha,0.957,19,3,7,0.8
2024-10,APAC,Core,Beta,0.927,20,1,2,1.0
2024-10,APAC,Core,Gamma,0.954,17,4,2,1.1
2024-10,APAC,Core,ServicesPlus,0.947,17,1,4,0.5
2024-10,APAC,Growth,Alpha,0.925,22,2,2,0.5
2024-10,APAC,Growth,Beta,0.918,27,0,3,2.1
2024-10,APAC,Growth,Gamma,0.9,24,0,2,2.2
2024-10,APAC,Growth,ServicesPlus,0.92,16,4,1,0.4
2024-10,APAC,Services,Alpha,0.968,9,1,4,3.6
2024-10,APAC,Services,Beta,0.984,10,2,5,0.5
2024-10,APAC,Services,Gamma,0.967,15,1,3,2.1
2024-10,APAC,Services,ServicesPlus,0.965,6,0,2,2.6
2025-03,NA,Core,Alpha,0.958,14,2,4,2.1
2025-03,NA,Core,Beta,0.917,17,2,3,0.6
2025-03,NA,Core,Gamma,0.938,21,2,2,1.5
2025-03,NA,Core,ServicesPlus,0.949,17,2,1,0.0
2025-03,NA,Growth,Alpha,0.937,25,1,3,0.0
2025-03,NA,Growth,Beta,0.914,23,1,3,1.7
2025-03,NA,Growth,Gamma,0.939,21,5,3,1.7
2025-03,NA,Growth,ServicesPlus,0.921,20,0,5,0.8
2025-03,NA,Services,Alpha,0.951,7,2,5,1.8
2025-03,NA,Services,Beta,0.96,11,1,3,0.3
2025-03,NA,Services,Gamma,0.95,12,1,4,2.3
2025-03,NA,Services,ServicesPlus,0.964,15,3,1,0.6
2025-03,EMEA,Core,Alpha,0.953,18,2,2,0.5
2025-03,EMEA,Core,Beta,0.954,18,2,5,2.1
2025-03,EMEA,Core,Gamma,0.936,19,0,5,2.0
2025-03,EMEA,Core,ServicesPlus,0.929,20,0,1,1.7
2025-03,EMEA,Growth,Alpha,0.928,27,1,5,1.3
2025-03,EMEA,Growth,Beta,0.907,21,3,3,1.3
2025-03,EMEA,Growth,Gamma,0.919,19,3,2,1.3
2025-03,EMEA,Growth,ServicesPlus,0.932,25,5,2,3.1
2025-03,EMEA,Services,Alpha,0.943,7,2,5,0.0
2025-03,EMEA,Services,Beta,0.973,9,1,2,0.6
2025-03,EMEA,Services,Gamma,0.978,15,4,3,3.0
2025-03,EMEA,Services,ServicesPlus,0.939,15,2,2,1.9
2025-03,APAC,Core,Alpha,0.988,16,3,4,0.0
2025-03,APAC,Core,Beta,0.917,20,1,2,0.0
2025-03,APAC,Core,Gamma,0.918,19,1,5,0.6
2025-03,APAC,Core,ServicesPlus,0.933,17,4,2,3.0
2025-03,APAC,Growth,Alpha,0.93,21,3,2,3.1
2025-03,APAC,Growth,Beta,0.9,22,1,8,2.7
2025-03,APAC,Growth,Gamma,0.91,22,4,7,2.1
2025-03,APAC,Growth,ServicesPlus,0.905,21,2,2,3.4
2025-03,APAC,Services,Alpha,0.984,8,3,2,1.7
2025-03,APAC,Services,Beta,0.98,11,2,4,1.1
2025-03,APAC,Services,Gamma,0.964,10,1,1,2.7
2025-03,APAC,Services,ServicesPlus,0.954,5,2,1,1.4
2025-08,NA,Core,Alpha,0.944,18,3,0,0.8
2025-08,NA,Core,Beta,0.942,17,3,4,2.2
2025-08,NA,Core,Gamma,0.955,16,2,2,1.7
2025-08,NA,Core,ServicesPlus,0.948,19,3,0,2.0
2025-08,NA,Growth,Alpha,0.918,21,4,5,2.6
2025-08,NA,Growth,Beta,0.894,23,3,1,1.8
2025-08,NA,Growth,Gamma,0.949,20,2,3,1.6
2025-08,NA,Growth,ServicesPlus,0.923,24,3,2,3.3
2025-08,NA,Services,Alpha,0.983,11,0,4,1.6
2025-08,NA,Services,Beta,0.96,11,3,3,0.0
2025-08,NA,Services,Gamma,0.968,10,1,4,0.7
2025-08,NA,Services,ServicesPlus,0.952,11,3,5,1.0
2025-08,EMEA,Core,Alpha,0.909,20,1,3,1.0
2025-08,EMEA,Core,Beta,0.966,17,1,2,2.8
2025-08,EMEA,Core,Gamma,0.939,20,2,3,0.1
