month,region,bu,product_line,segment,orders,cancellations,backlog,avg_discount,asp
2023-01,NA,Core,Alpha,SMB,69,2,67,0.189,17620.35
2023-01,NA,Core,Alpha,MidMarket,61,4,28,0.087,20349.56
2023-01,NA,Core,Alpha,Enterprise,32,1,31,0.056,21031.35
2023-01,NA,Core,Beta,SMB,118,8,80,0.182,18611.42
2023-01,NA,Core,Beta,MidMarket,89,3,71,0.087,20006.04
2023-01,NA,Core,Beta,Enterprise,51,4,14,0.041,21075.84
2023-01,NA,Core,Gamma,SMB,52,4,51,0.144,18939.23
2023-01,NA,Core,Gamma,MidMarket,48,3,38,0.105,20430.33
2023-01,NA,Core,Gamma,Enterprise,26,1,23,0.043,20958.43
2023-01,NA,Core,ServicesPlus,SMB,50,3,44,0.158,18355.08
2023-01,NA,Core,ServicesPlus,MidMarket,37,1,27,0.093,20561.04
2023-01,NA,Core,ServicesPlus,Enterprise,24,2,20,0.065,21083.5
2023-01,NA,Growth,Alpha,SMB,75,5,57,0.194,17327.21
2023-01,NA,Growth,Alpha,MidMarket,59,5,42,0.141,18759.31
2023-01,NA,Growth,Alpha,Enterprise,32,2,15,0.101,19358.22
2023-01,NA,Growth,Beta,SMB,152,7,136,0.236,16541.82
2023-01,NA,Growth,Beta,MidMarket,129,9,143,0.118,18775.19
2023-01,NA,Growth,Beta,Enterprise,76,3,81,0.113,19975.46
2023-01,NA,Growth,Gamma,SMB,152,10,90,0.223,17418.94
2023-01,NA,Growth,Gamma,MidMarket,117,10,103,0.158,18705.09
2023-01,NA,Growth,Gamma,Enterprise,72,3,58,0.067,21275.76
2023-01,NA,Growth,ServicesPlus,SMB,45,3,30,0.205,17851.89
2023-01,NA,Growth,ServicesPlus,MidMarket,40,2,33,0.146,18758.15
2023-01,NA,Growth,ServicesPlus,Enterprise,19,1,18,0.106,19529.87
2023-01,NA,Services,Alpha,SMB,47,4,51,0.174,18845.59
2023-01,NA,Services,Alpha,MidMarket,41,2,39,0.106,19917.19
2023-01,NA,Services,Alpha,Enterprise,24,1,15,0.071,19872.39
2023-01,NA,Services,Beta,SMB,105,7,76,0.175,17941.07
2023-01,NA,Services,Beta,MidMarket,85,5,67,0.133,18876.37
2023-01,NA,Services,Beta,Enterprise,49,3,36,0.073,20336.65
2023-01,NA,Services,Gamma,SMB,84,5,66,0.169,17912.29
2023-01,NA,Services,Gamma,MidMarket,71,6,39,0.118,18844.74
2023-01,NA,Services,Gamma,Enterprise,42,2,27,0.071,19784.63
2023-01,NA,Services,ServicesPlus,SMB,60,4,48,0.183,18125.34
2023-01,NA,Services,ServicesPlus,MidMarket,49,2,41,0.117,19581.01
2023-01,NA,Services,ServicesPlus,Enterprise,21,1,19,0.029,21686.51
2023-01,EMEA,Core,Alpha,SMB,124,7,101,0.157,18668.23
2023-01,EMEA,Core,Alpha,MidMarket,99,6,58,0.101,19820.69
2023-01,EMEA,Core,Alpha,Enterprise,50,2,25,0.063,20628.13
2023-01,EMEA,Core,Beta,SMB,72,4,60,0.166,17624.86
2023-01,EMEA,Core,Beta,MidMarket,54,3,57,0.072,20369.7
2023-01,EMEA,Core,Beta,Enterprise,34,2,32,0.058,21003.86
2023-01,EMEA,Core,Gamma,SMB,137,12,111,0.152,18532.72
