month,region,bu,product_line,shipped_units,fulfillment_rate
2023-01,NA,Core,Alpha,144,0.861
2023-01,NA,Core,Beta,239,0.959
2023-01,NA,Core,Gamma,119,0.912
2023-01,NA,Core,ServicesPlus,110,0.935
2023-01,NA,Growth,Alpha,143,0.904
2023-01,NA,Growth,Beta,346,0.938
2023-01,NA,Growth,Gamma,295,0.889
2023-01,NA,Growth,ServicesPlus,103,0.926
2023-01,NA,Services,Alpha,108,0.921
2023-01,NA,Services,Beta,243,0.99
2023-01,NA,Services,Gamma,188,0.916
2023-01,NA,Services,ServicesPlus,117,0.916
2023-01,EMEA,Core,Alpha,243,0.972
2023-01,EMEA,Core,Beta,165,0.929
2023-01,EMEA,Core,Gamma,283,0.973
2023-01,EMEA,Core,ServicesPlus,151,0.914
2023-01,EMEA,Growth,Alpha,196,0.935
2023-01,EMEA,Growth,Beta,129,0.979
2023-01,EMEA,Growth,Gamma,258,0.887
2023-01,EMEA,Growth,ServicesPlus,246,0.966
2023-01,EMEA,Services,Alpha,273,0.927
2023-01,EMEA,Services,Beta,298,0.917
2023-01,EMEA,Services,Gamma,260,0.907
2023-01,EMEA,Services,ServicesPlus,130,0.953
2023-01,APAC,Core,Alpha,121,0.91
2023-01,APAC,Core,Beta,283,0.858
2023-01,APAC,Core,Gamma,156,0.928
2023-01,APAC,Core,ServicesPlus,292,0.93
2023-01,APAC,Growth,Alpha,156,0.9
2023-01,APAC,Growth,Beta,237,0.985
2023-01,APAC,Growth,Gamma,281,0.87
2023-01,APAC,Growth,ServicesPlus,280,0.946
2023-01,APAC,Services,Alpha,303,0.952
2023-01,APAC,Services,Beta,250,0.974
2023-01,APAC,Services,Gamma,262,0.95
2023-01,APAC,Services,ServicesPlus,225,0.912
2023-02,NA,Core,Alpha,166,0.912
2023-02,NA,Core,Beta,261,0.958
2023-02,NA,Core,Gamma,130,0.91
2023-02,NA,Core,ServicesPlus,120,0.931
2023-02,NA,Growth,Alpha,162,0.933
2023-02,NA,Growth,Beta,395,0.972
2023-02,NA,Growth,Gamma,360,0.985
2023-02,NA,Growth,ServicesPlus,110,0.901
2023-02,NA,Services,Alpha,122,0.953
2023-02,NA,Services,Beta,259,0.961
2023-02,NA,Services,Gamma,203,0.902
2023-02,NA,Services,ServicesPlus,138,0.99
2023-02,EMEA,Core,Alpha,255,0.932
2023-02,EMEA,Core,Beta,188,0.964
2023-02,EMEA,Core,Gamma,302,0.946
2023-02,EMEA,Core,ServicesPlus,176,0.973
2023-02,EMEA,Growth,Alpha,216,0.938
2023-02,EMEA,Growth,Beta,132,0.906
2023-02,EMEA,Growth,Gamma,299,0.934
2023-02,EMEA,Growth,ServicesPlus,254,0.906
2023-02,EMEA,Services,Alpha,289,0.897
2023-02,EMEA,Services,Beta,320,0.901
2023-02,EMEA,Services,Gamma,279,0.888
2023-02,EMEA,Services,ServicesPlus,141,0.948
2023-02,APAC,Core,Alpha,131,0.899
2023-02,APAC,Core,Beta,313,0.866
2023-02,APAC,Core,Gamma,163,0.88
2023-02,APAC,Core,ServicesPlus,324,0.941
2023-02,APAC,Growth,Alpha,182,0.955
2023-02,APAC,Growth,Beta,241,0.909
2023-02,APAC,Growth,Gamma,322,0.902
2023-02,APAC,Growth,ServicesPlus,313,0.96
2023-02,APAC,Services,Alpha,325,0.931
2023-02,APAC,Services,Beta,261,0.927
2023-02,APAC,Services,Gamma,269,0.89
2023-02,APAC,Services,ServicesPlus,246,0.914
2023-03,NA,Core,Alpha,175,0.925
2023-03,NA,Core,Beta,259,0.915
2023-03,NA,Core,Gamma,143,0.962
2023-03,NA,Core,ServicesPlus,125,0.936
2023-03,NA,Growth,Alpha,169,0.93
2023-03,NA,Growth,Beta,409,0.966
2023-03,NA,Growth,Gamma,345,0.903
2023-03,NA,Growth,ServicesPlus,111,0.872
2023-03,NA,Services,Alpha,127,0.955
2023-03,NA,Services,Beta,253,0.905
2023-03,NA,Services,Gamma,216,0.92
2023-03,NA,Services,ServicesPlus,127,0.874
2023-03,EMEA,Core,Alpha,263,0.928
2023-03,EMEA,Core,Beta,189,0.934
2023-03,EMEA,Core,Gamma,302,0.911
2023-03,EMEA,Core,ServicesPlus,176,0.941
2023-03,EMEA,Growth,Alpha,221,0.924
2023-03,EMEA,Growth,Beta,132,0.87
2023-03,EMEA,Growth,Gamma,303,0.906
2023-03,EMEA,Growth,ServicesPlus,278,0.955
2023-03,EMEA,Services,Alpha,309,0.927
2023-03,EMEA,Services,Beta,319,0.864
2023-03,EMEA,Services,Gamma,293,0.9
2023-03,EMEA,Services,ServicesPlus,144,0.935
2023-03,APAC,Core,Alpha,148,0.979
2023-03,APAC,Core,Beta,347,0.921
2023-03,APAC,Core,Gamma,180,0.934
2023-03,APAC,Core,ServicesPlus,345,0.967
2023-03,APAC,Growth,Alpha,195,0.979
2023-03,APAC,Growth,Beta,257,0.927
2023-03,APAC,Growth,Gamma,369,0.99
2023-03,APAC,Growth,ServicesPlus,314,0.924
2023-03,APAC,Services,Alpha,353,0.974
2023-03,APAC,Services,Beta,272,0.931
2023-03,APAC,Services,Gamma,283,0.9
2023-03,APAC,Services,ServicesPlus,252,0.901
2023-04,NA,Core,Alpha,166,0.871
2023-04,NA,Core,Beta,268,0.937
2023-04,NA,Core,Gamma,140,0.933
2023-04,NA,Core,ServicesPlus,118,0.877
2023-04,NA,Growth,Alpha,165,0.897
2023-04,NA,Growth,Beta,425,0.99
2023-04,NA,Growth,Gamma,347,0.898
2023-04,NA,Growth,ServicesPlus,113,0.874
2023-04,NA,Services,Alpha,118,0.888
2023-04,NA,Services,Beta,255,0.906
2023-04,NA,Services,Gamma,227,0.96
2023-04,NA,Services,ServicesPlus,137,0.94
2023-04,EMEA,Core,Alpha,267,0.936
2023-04,EMEA,Core,Beta,186,0.914
2023-04,EMEA,Core,Gamma,312,0.931
2023-04,EMEA,Core,ServicesPlus,184,0.98
2023-04,EMEA,Growth,Alpha,228,0.94
2023-04,EMEA,Growth,Beta,141,0.915
2023-04,EMEA,Growth,Gamma,312,0.919
2023-04,EMEA,Growth,ServicesPlus,281,0.955
2023-04,EMEA,Services,Alpha,303,0.902
2023-04,EMEA,Services,Beta,344,0.925
2023-04,EMEA,Services,Gamma,301,0.917
2023-04,EMEA,Services,ServicesPlus,153,0.987
2023-04,APAC,Core,Alpha,138,0.908
2023-04,APAC,Core,Beta,350,0.921
2023-04,APAC,Core,Gamma,167,0.858
2023-04,APAC,Core,ServicesPlus,321,0.891
2023-04,APAC,Growth,Alpha,188,0.931
2023-04,APAC,Growth,Beta,260,0.925
2023-04,APAC,Growth,Gamma,355,0.936
2023-04,APAC,Growth,ServicesPlus,306,0.89
2023-04,APAC,Services,Alpha,330,0.904
2023-04,APAC,Services,Beta,273,0.928
2023-04,APAC,Services,Gamma,280,0.882
2023-04,APAC,Services,ServicesPlus,248,0.882
2023-05,NA,Core,Alpha,173,0.93
2023-05,NA,Core,Beta,262,0.936
2023-05,NA,Core,Gamma,140,0.95
2023-05,NA,Core,ServicesPlus,121,0.925
2023-05,NA,Growth,Alpha,154,0.856
2023-05,NA,Growth,Beta,393,0.933
2023-05,NA,Growth,Gamma,371,0.974
2023-05,NA,Growth,ServicesPlus,112,0.883
2023-05,NA,Services,Alpha,115,0.879
2023-05,NA,Services,Beta,252,0.914
2023-05,NA,Services,Gamma,205,0.886
2023-05,NA,Services,ServicesPlus,132,0.928
2023-05,EMEA,Core,Alpha,264,0.945
2023-05,EMEA,Core,Beta,180,0.903
